Space,Score
2.3629999999999995,6348.96
3.367,6423.14
2.406,6608.91
6.386,6663.03
6.337999999999999,6663.03
2.435,6663.03
2.583,6608.91
6.343,6663.03
5.225999999999999,6663.03
4.842,6663.03
2.3440000000000003,6663.03
6.005999999999999,6663.03
6.372,6608.91
2.6660000000000004,6608.91
4.941999999999999,6663.03
3.752,6608.91
2.707,6608.91
6.3309999999999995,6588.85
3.7880000000000003,6663.03
1.8909999999999998,6663.03
2.3340000000000005,6663.03
6.403,6663.03
3.7809999999999997,6663.03
5.545999999999999,6663.03
3.7880000000000003,6663.03
2.9239999999999995,6663.03
2.724,6663.03
3.769,6663.03
3.776,6663.03
2.7,6588.85
6.403,6588.85
3.396,6663.03
2.7119999999999997,6663.03
2.38,6663.03
3.769,6663.03
3.7640000000000002,6663.03
6.390999999999999,6663.03
2.707,6608.91
3.7809999999999997,6663.03
3.769,6663.03
2.7119999999999997,6663.03
3.7640000000000002,6608.91
3.7809999999999997,6663.03
3.7809999999999997,6663.03
3.769,6663.03
3.7809999999999997,6663.03
2.3680000000000003,6608.91
3.7569999999999997,6663.03
3.7569999999999997,6663.03
3.7809999999999997,6663.03
6.3839999999999995,6588.85
3.769,6588.85
6.396,6608.91
3.769,6588.85
3.7640000000000002,6608.91
3.7569999999999997,6608.91
2.724,6608.91
3.7569999999999997,6608.91
3.7640000000000002,6663.03
3.745,6663.03
3.7640000000000002,6588.85
2.7,6588.85
3.7640000000000002,6588.85
2.2219999999999995,6588.85
2.731,6588.85
3.7569999999999997,6588.85
3.752,6588.85
2.724,6588.85
3.776,6588.85
3.752,6588.85
3.752,6588.85
3.776,6588.85
3.7809999999999997,6588.85
3.716,6588.85
3.769,6588.85
3.7809999999999997,6588.85
3.745,6588.85
3.752,6588.85
3.7569999999999997,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.776,6588.85
3.776,6588.85
3.776,6588.85
3.7640000000000002,6588.85
3.7809999999999997,6588.85
3.7880000000000003,6588.85
3.769,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.7809999999999997,6588.85
3.7569999999999997,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6663.03
3.7880000000000003,6608.91
3.7640000000000002,6608.91
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6608.91
3.776,6663.03
3.769,6608.91
3.7880000000000003,6608.91
3.776,6608.91
3.7809999999999997,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.769,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.7809999999999997,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.769,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.7880000000000003,6663.03
3.776,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
1.5499999999999998,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.752,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7640000000000002,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.776,6588.85
3.776,6588.85
2.7430000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.7809999999999997,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7809999999999997,6588.85
3.776,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
2.955,6588.85
3.776,6663.03
3.7640000000000002,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6663.03
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
3.7880000000000003,6588.85
